"Action","Action"
"Add Child News category","Add Child News category"
"Add News category","Add News category"
"Add News","Add News"
"Add Root News category","Add Root News category"
"An error occurred while trying to delete the news category.","An error occurred while trying to delete the news category."
"An error occurred while updating the news categories.","An error occurred while updating the news categories."
"An error occurred while updating the news.","An error occurred while updating the news."
"Are you sure?","Are you sure?"
"Assign news category to news","Assign news category to news"
"CSV","CSV"
"Can't delete root news category.","Can't delete root news category."
"Change status","Change status"
"Collapse All","Collapse All"
"Could not find news category to delete.","Could not find news category to delete."
"Could not find news to delete.","Could not find news to delete."
"Created at","Created at"
"Delete News category","Delete News category"
"Delete News","Delete News"
"Delete","Delete"
"Disabled","Disabled"
"Display as tree","Display as tree"
"Edit News '%s'","Edit News '%s'"
"Edit News category '%s'","Edit News category '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving news category","Error saving news category"
"Error saving news","Error saving news"
"Excel","Excel"
"Expand All","Expand All"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Manage News categories","Manage News categories"
"Name","Name"
"New News category","New News category"
"New Root News category","New Root News category"
"News categories","News categories"
"News category does not exist.","News category does not exist."
"News category move error","News category move error"
"News category move operation is not possible: parent news category is equal to child news category.","News category move operation is not possible: parent news category is equal to child news category."
"News category move operation is not possible: the current news category was not found.","News category move operation is not possible: the current news category was not found."
"News category move operation is not possible: the new parent news category was not found.","News category move operation is not possible: the new parent news category was not found."
"News category subtree widget","News category subtree widget"
"News category subtree","News category subtree"
"News category was saved","News category was saved"
"News category was successfully deleted.","News category was successfully deleted."
"News category was successfully saved","News category was successfully saved"
"News category","News category"
"News was saved","News was saved"
"News was successfully deleted.","News was successfully deleted."
"News was successfully saved","News was successfully saved"
"News","News"
"No","No"
"None","None"
"Please select news categories to delete.","Please select news categories to delete."
"Please select news categories.","Please select news categories."
"Please select news to delete.","Please select news to delete."
"Please select news.","Please select news."
"Recursion level","Recursion level"
"Relative to Website Base URL","Relative to Website Base URL"
"Remove news category from news","Remove news category from news"
"Reset","Reset"
"Root","Root"
"Save And Continue Edit","Save And Continue Edit"
"Save News category","Save News category"
"Save News","Save News"
"Select News category","Select News category"
"Status","Status"
"Store views","Store views"
"Text","Text"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The news categories has been deleted.","The news categories has been deleted."
"The news category has been saved.","The news category has been saved."
"The news has been deleted.","The news has been deleted."
"There was a problem saving the news category.","There was a problem saving the news category."
"There was a problem saving the news.","There was a problem saving the news."
"There was an error deleting news categories.","There was an error deleting news categories."
"There was an error deleting news category.","There was an error deleting news category."
"There was an error deleting news.","There was an error deleting news."
"There was an error updating news categories.","There was an error updating news categories."
"There was an error updating news.","There was an error updating news."
"This news category no longer exists.","This news category no longer exists."
"This news no longer exists.","This news no longer exists."
"Total of %d news categories were successfully deleted.","Total of %d news categories were successfully deleted."
"Total of %d news categories were successfully updated.","Total of %d news categories were successfully updated."
"Total of %d news were successfully deleted.","Total of %d news were successfully deleted."
"Total of %d news were successfully updated.","Total of %d news were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find news category to save.","Unable to find news category to save."
"Unable to find news to save.","Unable to find news to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"